customer_key,customer_unique_id,total_spend,order_cnt,avg_order_value,avg_review_score,order_cancelled_cnt,avg_day_return_to_buy,cluster
37540,67b0a8350bf38e5d5be5df23e0d293a7,29.0,1,29.0,4.0,0,0.0,0
37541,438550f7e363d2b192e324b2d43661ae,315.9,1,315.9,1.0,0,0.0,0
37542,c0786d36f210da800628d3be5100578b,84.9,1,84.9,4.0,0,0.0,0
37543,e79ff6174ad4af336720f503293abe3b,18.9,1,18.9,5.0,0,0.0,0
37544,ef31dc303645bce3b18a77bd835e6273,185.81,1,185.81,5.0,0,0.0,0
37545,ef3b6ab8a1704ead096adbcdee78284b,253.0,2,126.5,5.0,0,95.0,1
37546,655d84c19059376150562e413e239e60,0.0,1,0.0,1.0,0,0.0,0
37547,1906728de43f2d1dcdb09bdd0b834439,18.9,1,18.9,3.0,0,0.0,0
37548,5554446bdf14acb1a4ea581d2dcecef7,0.0,1,0.0,3.0,0,0.0,0
37550,ca43ef609aebce70fe17decc03912c71,175.0,1,175.0,1.0,0,0.0,0
37551,bf1a3ae0edc94deecb0de97109276623,139.9,1,139.9,3.0,0,0.0,0
37552,995d5358a4f0983d30237043399f0eeb,78.9,1,78.9,5.0,0,0.0,0
37553,b8bb8927c550a156cc957815ea2b2920,116.9,1,116.9,5.0,0,0.0,0
37554,fdcc768de441d0c0bb9808e62faa4fe3,27.9,1,27.9,2.0,0,0.0,0
37555,e8bad4c2a79ddccbbf052b65d48095b9,14.0,1,14.0,5.0,0,0.0,0
37556,ab37ef857a91599810a1aad74cd34407,24.9,1,24.9,3.0,0,0.0,0
37557,520f032ab7d5fdde131bbc6d7e3520b6,34.99,1,34.99,5.0,0,0.0,0
37558,0516bba904d04d458f7b5759d84c87d4,81.0,1,81.0,5.0,0,0.0,0
37559,06f96a8186eb3f890b6421e944a10c0e,493.24,1,493.24,1.0,0,0.0,0
37560,0ed69e1f853d233e3293588dd2438211,12.9,1,12.9,5.0,0,0.0,0
37561,0036d365b138cc0ee06bed755bcb5044,79.9,1,79.9,5.0,0,0.0,0
37562,0c2361f803a38f997296b5957edfd57e,159.9,1,159.9,5.0,0,0.0,0
37563,444ef91f64035ec08c91762a0144eea4,19.99,1,19.99,5.0,0,0.0,0
37564,ee1aeaff4b31c4005fa61944d11ba51d,152.0,1,152.0,5.0,0,0.0,0
37565,b8013f255b89f49e84da9464917defbf,45.98,1,45.98,5.0,0,0.0,0
37566,95cfb39a7e263160308a934e42cfc4e0,99.89,2,49.945,2.5,0,66.0,1
37567,1ecd872d7c87a92bccd42e450cc58031,47.55,1,47.55,5.0,0,0.0,0
37568,96cf2365af288c0bb05034020a2accff,14.9,1,14.9,5.0,0,0.0,0
37569,d6d8339509a0cc78756ef99d44a0a805,22.99,1,22.99,0.0,0,0.0,0
37570,a9a852a3533326b04e1e7e9bfac1f0a2,454.99,1,454.99,5.0,0,0.0,0
37571,a7c9c26daf4a6a9e2c5eadc4ac023fd1,639.96,1,639.96,5.0,0,0.0,2
37572,66b55decbf390d6836d0ff2acf5fe8e7,159.8,1,159.8,5.0,0,0.0,0
37573,220a4347e32856d9c20216702cab4a68,72.9,1,72.9,5.0,0,0.0,0
37574,fe091f6006da578cd57334618ca23dbf,89.9,1,89.9,5.0,0,0.0,0
37575,9e7239922e75ab9bddd5474ba692ee34,230.0,1,230.0,4.0,0,0.0,0
37577,9b1de00ef3f5b9e16eecfa1b65a97a23,249.9,1,249.9,5.0,0,0.0,0
37578,2268d1ce389e69d7c6bdab23a1cf43b9,47.9,1,47.9,5.0,0,0.0,0
37579,ead41c944830a7027216fcf8e95043a8,69.9,1,69.9,3.0,0,0.0,0
37580,709d99688e7a88e02ec4e82960b92c72,59.9,1,59.9,5.0,0,0.0,0
37581,caf239683606ccfa6c38c3b5280b25c8,29.99,1,29.99,4.0,0,0.0,0
37582,f2993a5e8702bb0803b0dd4a0ea6613a,122.99,1,122.99,4.0,0,0.0,0
37583,f29f2553228477390f58da04a5c3cb8a,360.93,1,360.93,2.0,0,0.0,0
37584,07688a432e555be9655e83874563bc74,159.99,1,159.99,1.0,0,0.0,0
37585,17f8a6668a4bc8885fdea93ede73ab13,129.99,1,129.99,4.0,0,0.0,0
37586,6b72249ecff4348bd469e64725403973,122.99,1,122.99,4.0,0,0.0,0
37587,54285600832ce895402e1620dad8383e,70.0,1,70.0,4.0,0,0.0,0
37588,23c5c015ea7389e4b8b88ac37c5d3a88,162.5,1,162.5,5.0,0,0.0,0
37590,6e5aeeab1cda94f7a8442c7aaebba5c3,109.9,1,109.9,5.0,0,0.0,0
37591,a9323cc317a17670643a86caf9ec74a3,109.0,1,109.0,0.0,0,0.0,0
37592,09018d0cc94704d599b6bdb42750ef88,169.9,1,169.9,5.0,0,0.0,0
37593,04e5a8efc73cc750a235284e801a2d28,14.0,1,14.0,5.0,0,0.0,0
37594,43e77c841cdb7c978a19c9665dbdea5b,49.99,1,49.99,5.0,0,0.0,0
37595,6d0d61a2ea5f4fd88d56aec722fbbcb8,18.99,1,18.99,5.0,0,0.0,0
37596,2c30287ff199571ac2d89a5e658facce,58.9,1,58.9,3.0,0,0.0,0
37597,137b4e1ba5cb7c50a594173887b3e997,119.99,1,119.99,4.0,0,0.0,0
37598,95841defc315115b78918b1692a506d8,148.0,1,148.0,5.0,0,0.0,0
37599,f2d1dc5ee004b962760fb53749f297b8,17.99,1,17.99,1.0,0,0.0,0
37600,9e0efa01550d20236dde6860fc1dd24f,14.99,1,14.99,3.0,0,0.0,0
37601,08b0b8222f06e9807749fafdabfd2e38,182.0,1,182.0,5.0,0,0.0,0
37602,93a842d6ab8fb82ada2ed64c31a6b61c,220.0,1,220.0,3.0,0,0.0,0
37603,0220cae7a876f841ad3924e84b29861a,59.99,1,59.99,5.0,0,0.0,0
37605,879d61264e0c6343d4bae5262ac589a7,81.45,1,81.45,4.0,0,0.0,0
37606,4e1bc1fa9472084ca250e09489cae710,99.99,1,99.99,4.0,0,0.0,0
37607,0189cca3aa2a0f75ca0cde94ee38be57,84.99,1,84.99,5.0,0,0.0,0
37608,fdb8350ed12591a3bb188f34d15dc70c,189.9,1,189.9,5.0,0,0.0,0
37609,2707b48ba1240c559f1088c2e696e1a0,180.0,1,180.0,1.0,0,0.0,0
37610,3031a1ee0ebe70445c566be3166b386c,199.99,1,199.99,1.0,0,0.0,0
37611,afe72600b2dc9fba539d82b5cb7b2544,38.0,1,38.0,4.0,0,0.0,0
37612,7ec5700664d6d858f20c0d108062de10,49.9,1,49.9,5.0,0,0.0,0
37613,7606dff35bbe8c1d4166e6d77d235a26,175.0,1,175.0,5.0,0,0.0,0
37614,59aea6f3724d3746108354ec8312fe2d,27.99,1,27.99,4.0,0,0.0,0
37615,230fedab42f7955784bc36ab58883f72,99.9,1,99.9,5.0,0,0.0,0
37616,7c5f2513d8feafd1ee95553ba1269a56,150.0,1,150.0,3.0,0,0.0,0
37617,5d7ece4f7e312b7f234c125ba99d0d46,79.9,1,79.9,5.0,0,0.0,0
37618,4c7dddc4f2de0f8d2f0d9e4362091036,65.0,1,65.0,5.0,0,0.0,0
37619,adc5f9c9d98b7eabb6ba968a45fc780c,59.9,1,59.9,1.0,0,0.0,0
37620,40f4b191d404a10a6039af0b26dd62c7,105.89,2,52.945,4.0,0,0.0,0
37621,3d3fd715e63656617f8e3156658efed3,29.99,1,29.99,5.0,0,0.0,0
37622,790e20a4251cdfeef738109a1f4936b7,242.0,1,242.0,4.0,0,0.0,0
37623,19f190b5d6d5121c8c6d2aecf2c7d98c,749.9,1,749.9,5.0,0,0.0,2
37624,d7fb3beadb919dae5763b2a73076694c,73.0,1,73.0,5.0,0,0.0,0
37625,d845a8a9a1a89add6ce3eeaa73b8997a,82.9,1,82.9,4.0,0,0.0,0
37626,0b5bb1adb16a830ffcc7a279385a858f,114.9,1,114.9,5.0,0,0.0,0
37627,71e2ab4ddf40cf4ad4cc322f1002ca96,78.0,1,78.0,3.0,0,0.0,0
37628,cbd95d798bb1a7046fca67fcc8473f53,140.0,1,140.0,5.0,0,0.0,0
37629,bdfb29ae1ccb5ff4466a38b9a940118c,189.0,1,189.0,5.0,0,0.0,0
37630,2fdc18a80ec13de305a40c8f59b1d791,9.89,1,9.89,5.0,0,0.0,0
37631,3c77b44e70a34b2d8b5d0b4f0fe0afd8,49.9,1,49.9,5.0,0,0.0,0
